id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
22580,Cacao puro en polvo La Chocolatera,cacao-puro-polvo-chocolatera-0-azucares-anadidos-bote,8,"Cacao, café e infusiones",18.68,4.95,kg,10.000,Bote,True,https://tienda.mercadona.es/product/22580/cacao-puro-polvo-chocolatera-0-azucares-anadidos-bote
12017,Cacao en polvo a la taza Valor,cacao-polvo-taza-valor-paquete,8,"Cacao, café e infusiones",8.2,4.1,kg,10.000,Paquete,True,https://tienda.mercadona.es/product/12017/cacao-polvo-taza-valor-paquete
10005,Chocolate líquido a la taza Hacendado,chocolate-liquido-taza-hacendado-brick,8,"Cacao, café e infusiones",2.45,2.45,l,10.000,Brick,True,https://tienda.mercadona.es/product/10005/chocolate-liquido-taza-hacendado-brick
20919,Cacao soluble instantáneo Hacendado,cacao-soluble-instantaneo-hacendado-caja,8,"Cacao, café e infusiones",4.69,3.75,kg,10.000,Caja,True,https://tienda.mercadona.es/product/20919/cacao-soluble-instantaneo-hacendado-caja
11609,Cacao en polvo a la taza Hacendado,cacao-polvo-taza-hacendado-paquete,8,"Cacao, café e infusiones",4.63,1.85,kg,10.000,Paquete,True,https://tienda.mercadona.es/product/11609/cacao-polvo-taza-hacendado-paquete
67739,Cacao soluble instantáneo Nesquik,cacao-soluble-instantaneo-nesquik-caja,8,"Cacao, café e infusiones",6.46,17.45,kg,10.000,Caja,True,https://tienda.mercadona.es/product/67739/cacao-soluble-instantaneo-nesquik-caja
66462,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-pack-12,19,Bodega,0.97,3.84,l,21.000,Pack-12,True,https://tienda.mercadona.es/product/66462/cerveza-clasica-steinburg-pack-12
66463,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-lata,19,Bodega,0.97,0.32,l,21.000,Lata,True,https://tienda.mercadona.es/product/66463/cerveza-clasica-steinburg-lata
27679,Cerveza Heineken,cerveza-heineken-pack-8,19,Bodega,2.12,5.6,l,21.000,Pack-8,True,https://tienda.mercadona.es/product/27679/cerveza-heineken-pack-8
27100,Cerveza Heineken,cerveza-heineken-lata,19,Bodega,2.7,0.89,l,21.000,Lata,True,https://tienda.mercadona.es/product/27100/cerveza-heineken-lata
28057,Cerveza doble malta Voll-Damm,cerveza-doble-malta-voll-damm-pack-6,19,Bodega,2.7,5.34,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/28057/cerveza-doble-malta-voll-damm-pack-6
27137,Cerveza doble malta Voll-Damm,cerveza-doble-malta-voll-damm-lata,19,Bodega,2.7,0.89,l,21.000,Lata,True,https://tienda.mercadona.es/product/27137/cerveza-doble-malta-voll-damm-lata
